,Unnamed: 0,year,make,model,final_price,mileage,engine,zipcode,engine string
98,98,1984,Porsche,Porsche 911 Carrera 3.2,103250.0,134000,3200.0,93940,3.2-Liter Flat-Six
101,101,1983,Toyota,Toyota Land Cruiser 60-Series,33000.0,145000,4200.0,33179,4.2-Liter Inline Six
102,102,2016,Porsche,Porsche Cayenne,60000.0,51000,4800.0,33314,Twin-Turbocharged 4.8L V8
103,103,2015,Chevrolet,Chevrolet Corvette C7,65000.0,14000,6200.0,92679,Supercharged 6.2-Liter LT4 V8
107,107,1965,Chevrolet,Chevrolet Corvair,10351.0,67000,2687.468,58102,164ci Flat-Six 
110,110,1965,Ford,Ford Thunderbird,16500.0,9000,6390.93,48412,390ci V8
111,111,1988,Toyota,Toyota 4Runner,16750.0,120000,3400.0,99301,3.4-Liter V6
112,112,1976,Ford,Ford F-Series 1973-1979,17000.0,97000,6997.249,28602,Replacement 427ci V8
114,114,1992,BMW,BMW Motorcycles,6800.0,69000,987.0,54944,Liquid-Cooled 987cc Horizontal Inline-Four
115,115,1972,Chevrolet,Chevrolet Pickup,17250.0,93000,5735.45,92704,Replacement 350ci V8
116,116,1981,Mercedes-Benz,Mercedes-Benz R107 SL,10000.0,39000,3800.0,61873,3.8-Liter V8
117,117,2003,Jaguar,Jaguar XK8,13000.0,82000,4200.0,75061,4.2-Liter V8
118,118,2013,Porsche,Porsche 981 Boxster,54500.0,19000,3400.0,11360,3.4-Liter Flat-Six
119,119,1985,Mercedes-Benz,Mercedes-Benz W126 S-Class,18000.0,7000,3000.0,94124,3.0-Liter Turbodiesel Inline-Five
120,120,2004,BMW,BMW E63/E64 6-Series,16500.0,70000,4400.0,7074,4.4-Liter V8
122,122,1960,Porsche,Porsche 356,85000.0,82000,1600.0,61114,1.6-Liter Flat-Four
123,123,2008,Mercedes-Benz,Mercedes-Benz CLK63 AMG Black Series,107000.0,22000,6200.0,75062,6.2-Liter M156 V8
124,124,2005,Lotus,Lotus Elise,47000.0,16000,1800.0,48442,1.8-Liter Inline-Four
125,125,1993,Porsche,Porsche 928,40000.0,93000,5400.0,92118,5.4-Liter DOHC V8
127,127,2018,Shelby,Shelby Cobra Replica,62500.0,15000,6997.249,18055,427ci V8
128,128,2006,Mitsubishi,Mitsubishi Lancer Evolution,36500.0,44000,2000.0,63005,Turbocharged 2.0L 4G63 Inline-Four
