,Unnamed: 0,year,make,model,final_price,mileage,engine,zipcode,engine string
1022,1022,2004,Porsche,Porsche 911 GT2,262996.0,10000,3600.0,30534,Twin-Turbocharged 3.6L Flat-Six 
1023,1023,1962,Chevrolet,Chevrolet Corvette C1,62000.0,38000,5358.549,15012,327ci V8
1024,1024,1966,Ford,Ford Thunderbird,6200.0,29000,6390.93,15012,390ci V8
1031,1031,1988,BMW,BMW E30 3-Series,17250.0,44000,2500.0,22303,2.5-Liter Inline-Six
1032,1032,1950,Ford,Ford F-Series 1948-1952,38000.0,73000,3900.106,10560,238ci Flathead V8
1033,1033,2004,Mercedes-Benz,Mercedes-Benz AMG,30000.0,67000,5400.0,94954,Supercharged 5.4-Liter V8
1034,1034,1984,Toyota,Toyota Land Cruiser 60-Series,22500.0,227000,4200.0,81212,4.2-Liter 2F Inline-Six
1036,1036,1955,MG,MG TF,11500.0,80000,1466.0,93453,"1,466cc XPEG Inline-Four"
1041,1041,1976,Toyota,Toyota Land Cruiser FJ40,35000.0,2000,5735.45,43065,Fuel-Injected 350ci V8
1042,1042,2000,Ferrari,Ferrari 456,52456.0,29000,5500.0,92570,5.5-Liter V12
1046,1046,2005,Audi,Audi S4,13000.0,165000,4200.0,75033,4.2-Liter DOHC V8
1047,1047,1986,Buick,Buick Regal,31250.0,54000,3800.0,48150,Turbocharged 3.8-liter V6
1048,1048,1982,Toyota,Toyota Pickup,16250.0,98000,2400.0,39069,2.4-Liter 22R Inline-Four
1051,1051,2014,Lotus,Lotus Evora,60000.0,3000,3500.0,44442,3.5-Liter DOHC V6
1052,1052,1969,Porsche,Porsche 912,34912.0,57000,1600.0,27871,1.6-Liter Flat-Four
1053,1053,1995,Porsche,Porsche 993 911,50000.0,39000,3600.0,24486,3.6-Liter Flat-Six
1055,1055,2003,Porsche,Porsche 996 911,29750.0,69000,3600.0,7702,3.6-Liter Flat-Six
1057,1057,2021,Ford,Ford U725 Bronco,78522.0,244000,2700.0,55446,Twin-Turbocharged 2.7-Liter EcoBoost V6
1058,1058,2006,BMW,BMW Z4 M Roadster,35000.0,49000,3200.0,43402,3.2-Liter Inline-Six
1061,1061,1982,Land Rover,Land Rover Series 88,18500.0,56000,2250.0,30721,2.25-Liter Gasoline Inline-Four
1062,1062,2000,Porsche,Porsche 986 Boxster,24250.0,44000,3200.0,85251,3.2-Liter Flat-Six
1063,1063,1986,Pontiac,Pontiac Fiero,14250.0,12000,2800.0,18452,2.8-Liter V6
1065,1065,1999,Jaguar,Jaguar XK8,19100.0,11000,4000.0,85225,4.0-Liter V8
1066,1066,1955,Chevrolet,Chevrolet Pickup,40000.0,190000,4637.521,89113,283ci V8
1068,1068,2006,Acura,Acura RSX,19000.0,86000,2000.0,60124,2.0-Liter i-VTEC Inline-Four
1070,1070,1981,DeLorean,DeLorean DMC-12,79000.0,7000,2850.0,43016,2.85-Liter PRV V6
1071,1071,1968,Mercedes-Benz,Mercedes-Benz W113 SL,57666.0,57000,2500.0,33178,2.5-Liter Inline-Six
1072,1072,1990,Nissan,Nissan 300ZX,24800.0,21000,3000.0,37830,3.0-Liter VG30DE V6
1073,1073,1975,Ford,Ford F-Series 1973-1979,23000.0,44000,7538.02,91340,460ci V8
1074,1074,2002,Porsche,Porsche 996 911,37500.0,36000,3600.0,85260,3.6-Liter Flat-Six
1075,1075,1988,Mercedes-Benz,Mercedes-Benz R107 SL,16000.0,88000,5500.0,2770,5.5-liter M117 V8
1076,1076,1985,Porsche,Porsche 928,9628.0,171000,5000.0,80007,5.0-Liter V8
1080,1080,2002,BMW,BMW E46 M3,23000.0,60000,3200.0,91202,3.2-Liter Inline-Six
1081,1081,1966,Ford,Ford Mustang 1964.5-1966,19289.0,99000,4735.843,38469,289ci V8
1082,1082,1983,Mercedes-Benz,Mercedes-Benz R107 SL,9300.0,71000,3800.0,33912,3.8-Liter V8
1083,1083,1987,BMW,BMW E30 3-Series,13500.0,89000,2500.0,7026,2.5-Liter M20 Inline-Six
1084,1084,2008,Mercedes-Benz,Mercedes-Benz R230 SL,28250.0,41000,5500.0,19010,5.5-Liter V8
1086,1086,1975,Honda,Honda Motorcycles,9500.0,6000,736.0,46160,736cc Inline-Four
1087,1087,2003,Land Rover,Land Rover Discovery,5800.0,119000,4600.0,68130,4.6-Liter V8
1088,1088,1965,Chevrolet,Chevrolet Corvair,8900.0,45000,2700.0,44214,2.7-Liter Flat-Six
1090,1090,2008,Porsche,Porsche 997 Turbo,80000.0,65000,3600.0,30060,3.6-Liter Flat-Six
1091,1091,1956,Chevrolet,Chevrolet Corvette C1,80500.0,55000,4342.555,48236,265ci V8
1093,1093,1981,Porsche,Porsche 911SC,55000.0,118000,3000.0,91942,3.0-Liter Flat-Six
1094,1094,2008,Mercedes-Benz,Mercedes-Benz CLK-Class,13251.0,35000,3500.0,53114,3.5L M272 V6
1097,1097,1974,Cadillac,Cadillac Eldorado,14000.0,87000,8193.5,19805,500ci V8
1098,1098,2007,Aston Martin,Aston Martin DB9,45500.0,32000,6000.0,31405,6.0-Liter V12
1101,1101,1979,Lincoln,Lincoln Continental,14000.0,28000,6554.8,25411,400ci V8
1103,1103,2010,Audi,Audi R8,81008.0,29000,5200.0,21054,5.2-Liter V10
1105,1105,2002,Ford,Ford Thunderbird,19750.0,19000,3900.0,16509,3.9-Liter V8
1106,1106,1957,Ford,Ford Thunderbird,33500.0,43000,5112.744000000001,80537,312ci Thunderbird Special V8
1107,1107,1987,Porsche,Porsche 911 Carrera 3.2,69690.0,55000,3200.0,33144,3.2-Liter Flat-Six
1109,1109,2011,BMW,BMW E92/E93 3-Series Coupe & Convertible,29000.0,42000,3000.0,19010,Twin-Turbocharged 3.0L Inline-Six
1110,1110,1992,Chevrolet,Chevrolet Pickup,23500.0,18000,5700.0,98290,5.7-Liter V8
1112,1112,2003,Acura,Acura NSX NA1/NA2,170000.0,6000,3200.0,8902,3.2-Liter V6
1113,1113,1994,Mercedes-Benz,Mercedes-Benz R129 SL,15750.0,14000,3200.0,33067,3.2-Liter Inline-Six
1116,1116,2008,Toyota,Toyota FJ Cruiser,15750.0,119000,4000.0,33178,4.0-Liter V6
1117,1117,1981,Jeep,Jeep CJ-8,37000.0,44000,2800.0,29301,2.8L Cummins Turbodiesel Inline-Four
1118,1118,1986,Chevrolet,Chevrolet K5 Blazer 1973-1991,39500.0,99000,5735.45,90031,350ci V8
1119,1119,2021,Ford,Ford Super Duty 2017-,98500.0,11000,6700.0,89074,6.7L Power Stroke Turbodiesel V8
1120,1120,1964,Chrysler,Chrysler Imperial,26250.0,53000,6767.831,18940,413ci V8
1121,1121,2012,Land Rover,Land Rover Range Rover L322,32323.0,66000,5000.0,92627,Supercharged 5.0-Liter V8
1122,1122,1995,Land Rover,Land Rover Range Rover Classic,75000.0,34000,4200.0,10987,4.2-Liter V8
1123,1123,1961,Alfa Romeo,Alfa Romeo 750/101 Series Giulietta & Giulia,37250.0,14000,1300.0,94117,1.3L Twin-Cam Inline-Four
1124,1124,2006,Ford,Ford Mustang S197 2005-2014,22250.0,8000,4600.0,8807,4.6-Liter V8
1125,1125,2000,Chevrolet,Chevrolet Corvette C5,25000.0,38000,5700.0,97035,5.7-Liter V8
1126,1126,2005,Mini,Mini Modern,17000.0,42000,1600.0,53114,Supercharged 1.6L Inline-Four
1127,1127,2004,BMW,BMW E46 M3,22550.0,85000,3200.0,94010,3.2-Liter Inline-Six
1128,1128,1998,Mercedes-Benz,Mercedes-Benz W210 E-Class,6100.0,104000,3200.0,91344,3.2-Liter V6
1130,1130,2005,Morgan,Morgan V6 Roadster,59000.0,33000,3000.0,98110,Ford 3.0L V6 
1131,1131,2007,Jaguar,Jaguar XJ,22500.0,37000,4200.0,19010,4.2-Liter V8
1133,1133,1967,Porsche,Porsche Longhood 911,103000.0,291000,2000.0,33432,2.0-Liter Flat-Six
1134,1134,2002,BMW,BMW Z3,17150.0,43000,3000.0,85225,3.0-Liter M54 Inline-Six
1135,1135,1990,Porsche,Porsche 964 911,40000.0,63000,3600.0,83713,3.6-Liter Flat-Six
1136,1136,2006,Chrysler,Chrysler Crossfire,22500.0,10000,3200.0,19010,3.2-Liter SOHC V6
1137,1137,1999,Mazda,Mazda Miata,11099.0,44000,1800.0,11790,1.8-Liter Inline-Four
1139,1139,1984,Jeep,Jeep CJ-7,17500.0,71000,4227.8460000000005,28677,258ci Inline-Six
1146,1146,1988,Mercedes-Benz,Mercedes-Benz C126,54000.0,25000,5500.0,94010,5.5-Liter V8
1147,1147,2004,Porsche,Porsche 996 911,57000.0,26000,3600.0,7229,3.6-Liter Flat-Six
1149,1149,1963,Chevrolet,Chevrolet Corvette C2,57500.0,33000,5358.549,4978,Replacement 327ci V8
1151,1151,2007,Honda,Honda S2000,51000.0,6000,2200.0,97013,2.2-Liter Inline-Four
1152,1152,2022,Ford,Ford U725 Bronco,53750.0,35000,2300.0,92625,Turbocharged EcoBoost 2.3-Liter Inline-Four
1153,1153,1999,Mercedes-Benz,Mercedes-Benz CL-Class,20000.0,147000,6000.0,94925,6.0-Liter V12
1154,1154,1968,Chevrolet,Chevrolet Camaro 1st Generation 1967-1969,33850.0,73000,5358.549,14103,327ci V8
1155,1155,1997,Land Rover,Land Rover Defender 90 NAS,81000.0,38000,4000.0,31210,4.0-Liter V8
1156,1156,1955,Chevrolet,Chevrolet Tri-5,30500.0,36000,5735.45,77356,Replacement 350ci V8
1157,1157,2001,Porsche,Porsche 996 Turbo,60500.0,67000,3600.0,92024,Twin-Turbocharged 3.6L Flat-Six
1159,1159,1975,Fiat,Fiat 124 Spider,15500.0,94000,1800.0,95060,1.8-Liter Inline-Four
1160,1160,1968,International Harvester,International Harvester Scout,25750.0,14000,4358.942,84098,266ci V8
1161,1161,1973,Porsche,Porsche 914,23750.0,67000,2000.0,98110,2.0-Liter Flat Four 
1162,1162,1989,Mercedes-Benz,Mercedes-Benz R107 SL,40500.0,43000,5500.0,21601,5.5-Liter V8
1163,1163,2000,Mazda,Mazda Miata,14000.0,22000,1800.0,13027,1.8-Liter Inline-Four
1164,1164,1989,Chevrolet,Chevrolet Camaro 3rd Generation 1982-1992,37500.0,27000,5700.0,94536,5.7-Liter V8 
1165,1165,2004,BMW,BMW E46 M3,22611.0,44000,3200.0,91011,3.2-Liter S54 Inline-Six
1166,1166,2000,Ford,Ford Excursion,36750.0,73000,7300.0,20747,7.3-Liter PowerStroke V8
1167,1167,1984,BMW,BMW E24 6-Series,22250.0,52000,3200.0,11743,3.2-Liter Inline-Six
1168,1168,1995,Ford,Ford F-Series 1992-1997,15250.0,70000,7500.0,83704,7.5-Liter V8
1170,1170,2003,Chevrolet,Chevrolet Corvette C5,30000.0,7000,5700.0,90066,5.7-Liter V8
1172,1172,1977,Toyota,Toyota Land Cruiser FJ40,70500.0,28000,4200.0,21286,4.2-Liter Inline-Six
1173,1173,2007,Ford,Ford Shelby Mustang,38000.0,3000,5400.0,96007,Supercharged 5.4-Liter V8
1174,1174,1996,Lexus,Lexus LS Sedan,12500.0,62000,4000.0,91106,4.0-Liter 1UZ-FE V8
1175,1175,2001,BMW,BMW Z8,182000.0,27000,4900.0,10549,4.9-Liter V8
1176,1176,2007,Porsche,Porsche 987 Cayman,25250.0,52000,2700.0,98651,2.7-Liter Flat-Six
1177,1177,1950,Jaguar,"Jaguar MK VII, VIII, & IX",16000.0,26000,3500.0,95946,3.5-Liter Inline-Six
1178,1178,1969,Jeep,Jeep Pickup,26500.0,82000,5735.45,97306,Dauntless 350ci V8
1179,1179,2004,Nissan,Nissan 350Z,15700.0,7000,3500.0,95959,3.5-Liter VQ35DE V6
1181,1181,1969,Plymouth,Plymouth Road Runner,42500.0,41000,6276.2210000000005,68506,383ci V8
1182,1182,1995,Porsche,Porsche 993 911,68500.0,123000,3600.0,46037,3.6-Liter Flat-Six
1183,1183,2014,Dodge,Dodge Viper,134235.0,7000,8400.0,33570,8.4-liter V10
1184,1184,1989,BMW,BMW E30 3-Series,19001.0,80000,2500.0,38133,2.5-Liter M20 Inline-Six
1185,1185,1989,Porsche,Porsche 356 Speedster Replica,45000.0,6000,1835.0,55391,"1,835cc Flat-Four"
1186,1186,2007,Chevrolet,Chevrolet Corvette C6,44000.0,34000,7000.0,49674,Katech-Modified 7.0-Liter LS7 V8
1187,1187,1969,Plymouth,Plymouth Barracuda,21512.0,46000,8127.952,49674,496ci V8
1188,1188,1982,Chevrolet,Chevrolet Corvette C3,35000.0,13000,5700.0,75791,5.7-Liter V8
1189,1189,1969,Mercedes-Benz,Mercedes-Benz W114 & W115,9700.0,87000,2200.0,23834,2.2-Liter Inline-Four
1190,1190,2003,Mercedes-Benz,Mercedes-Benz R230 SL,36000.0,21000,5000.0,34771,5.0-Liter V8 
1191,1191,1984,Chevrolet,Chevrolet Corvette C4,14266.0,2000,5700.0,1960,5.7-Liter V8
1192,1192,2011,BMW,BMW E90/E92/E93 M3,33750.0,55000,4000.0,95035,4.0-Liter S65 V8
1193,1193,2009,Bentley,Bentley Continental GT,60000.0,18000,6000.0,77057,Twin-Turbocharged 6.0-Liter W12
1196,1196,2018,Porsche,Porsche 991 911,83500.0,38000,3000.0,33135,Twin-Turbocharged 3.0L Flat-Six
1197,1197,1950,Ford,Ford F-Series 1948-1952,37000.0,52000,4948.874,98077,302ci V8
1199,1199,1978,Honda,Honda Motorcycles,5350.0,8000,497.0,92201,497cc OHV Transverse V-Twin
1200,1200,2002,BMW,BMW E39 M5,35000.0,109000,4900.0,91423,4.9-Liter V8
1201,1201,1970,Dodge,Dodge Challenger,72500.0,95000,7210.280000000001,6051,440ci V8
1202,1202,1961,Austin-Healey,Austin-Healey Bugeye Sprite,17400.0,35000,1275.0,28722,"1,275cc Inline-Four"
1204,1204,1985,Buick,Buick Grand National,29000.0,59000,3800.0,13615,Turbocharged 3.8-Liter V6
1206,1206,1972,International Harvester,International Harvester Scout,58000.0,23000,6200.0,94089,6.2-Liter Vortec L92 V8
1209,1209,2008,Land Rover,Land Rover Range Rover L322,30250.0,68000,4200.0,7074,Supercharged 4.2-Liter V8
1210,1210,2000,Mercedes-Benz,Mercedes-Benz R129 SL,15750.0,54000,5000.0,6830,5.0-Liter V8
1212,1212,2003,Land Rover,Land Rover Discovery,7500.0,164000,4600.0,94041,4.6-Liter V8
1213,1213,1986,Mercedes-Benz,Mercedes-Benz R107 SL,25000.0,74000,5500.0,80516,5.5-Liter V8
1214,1214,2002,Ford,Ford Thunderbird,21500.0,5000,3900.0,19010,3.9-Liter V8
1215,1215,2002,Chevrolet,Chevrolet Corvette C5,26000.0,56000,5700.0,52240,5.7-Liter LS6 V8
1216,1216,2005,Mini,Mini Modern,14400.0,37000,1600.0,53114,Supercharged 1.6-Liter Inline-Four
1217,1217,1985,Porsche,Porsche 911 Carrera 3.2,59500.0,52000,3200.0,33431,3.2-Liter Flat-Six
1219,1219,1997,Dodge,Dodge Viper,60500.0,26000,8000.0,68132,8.0-Liter V10
1221,1221,1980,Porsche,Porsche 911SC,52000.0,78000,3200.0,7643,Replacement 3.2-liter Flat-Six
1222,1222,1966,Lincoln,Lincoln Continental,54500.0,89000,7570.794,97703,462ci V8
1224,1224,2011,Aston Martin,Aston Martin V8 Vantage,62001.0,10000,4700.0,11360,4.7-Liter V8
1225,1225,1995,Ford,Ford Bronco 4th-5th Generations 1987-1996,35000.0,49000,5800.0,34233,5.8-Liter V8
1226,1226,1972,Chevrolet,Chevrolet Pickup,32250.0,46000,5735.45,84111,350ci V8
1227,1227,1973,Porsche,Porsche Longhood 911,78000.0,82000,2400.0,43017,2.4L Flat-Six 
1228,1228,2005,Porsche,Porsche Cayenne,21000.0,100000,4500.0,76226,4.5-Liter V8
1229,1229,1995,Land Rover,Land Rover Range Rover Classic,19750.0,214000,4200.0,90008,4.2-Liter Rover V8
1230,1230,1967,Plymouth,Plymouth Barracuda,25000.0,22000,5899.32,48047,Replacement 360ci V8
1232,1232,2002,BMW,BMW E39 M5,52000.0,45000,4900.0,48393,4.9-Liter V8
1233,1233,2007,Honda,Honda S2000,34500.0,19000,2200.0,22043,2.2-Liter VTEC Inline-Four
1234,1234,1970,Chevrolet,Chevrolet Corvette C3,32500.0,79000,6653.122,98034,406ci V8
1237,1237,1972,Mercedes-Benz,Mercedes-Benz W108 & W109,22000.0,66000,4500.0,94612,4.5-Liter M117 V8
1238,1238,1997,BMW,BMW E39 5-Series,8500.0,79000,4400.0,10543,4.4-Liter V8
1239,1239,2000,Datsun,Datsun Roadster,24000.0,34000,2000.0,49103,2.0-Liter U20 Inline-Four
1241,1241,1999,Porsche,Porsche 996 911,32500.0,45000,3400.0,7074,3.4-Liter Flat-Six
1242,1242,2022,Ford,Ford U725 Bronco,73689.0,279000,2700.0,32608,Twin-Turbocharged EcoBoost 2.7L V6
1252,1252,1956,Land Rover,Land Rover Series 88,35000.0,77000,2000.0,91605,2.0L Inline-Four
1253,1253,1973,Ford,Ford Bronco U13/U14/U15 1966-1977,57500.0,11000,4948.874,85390,302ci V8
1254,1254,1991,Toyota,Toyota Land Cruiser 80-Series,26250.0,139000,4000.0,85253,4.0-Liter Inline-Six
1256,1256,2004,BMW,BMW E46 3-Series Convertible,13750.0,85000,2500.0,91301,2.5-Liter M54 Inline-Six
1257,1257,2014,Aston Martin,Aston Martin Vanquish,101007.0,34000,5900.0,60140,5.9-Liter V12
1260,1260,1955,Austin-Healey,Austin-Healey 100,30500.0,6000,2700.0,95117,Replacement 2.7L Inline-Four
1262,1262,2004,Porsche,Porsche 996 911,44000.0,35000,3600.0,90732,3.6-Liter Flat-Six
1263,1263,1960,Ford,Ford F-Series 1957-1960,12900.0,24000,3654.301,98368,Replacement 223ci Inline-Six
1269,1269,1971,Plymouth,Plymouth Barracuda,100000.0,90000,7210.280000000001,80524,Replacement 440ci V8
1270,1270,2018,BMW,BMW F80 M3,71500.0,13000,3000.0,8055,Twin-Turbocharged 3.0L Inline-Six
1271,1271,1976,GMC,GMC Jimmy,32000.0,92000,6554.8,33767,400ci V8
1272,1272,2004,BMW,BMW E46 M3,50500.0,37000,3200.0,20147,3.2-Liter Inline-Six
1274,1274,1987,Mercedes-Benz,Mercedes-Benz W124 E-Class,9000.0,67000,3000.0,59901,3.0-Liter Inline-Six
1276,1276,1972,Chevrolet,Chevrolet Camaro 2nd Generation 1970-1981,38500.0,45000,5735.45,45458,350ci V8
1278,1278,2008,Mercedes-Benz,Mercedes-Benz CLK63 AMG Black Series,127209.0,19000,6200.0,90025,6.2-Liter M156 V8
1281,1281,1998,Jeep,Jeep Cherokee,18000.0,49000,4000.0,28655,4.0-Liter Inline-Six
1282,1282,1960,Oldsmobile,Oldsmobile 88,20000.0,294000,6964.475,28651,425ci V8
1283,1283,1973,Citroen,Citroen SM,42000.0,50000,3000.0,91387,3.0-Liter Maserati V6
1284,1284,1987,Jaguar,Jaguar XJS,21250.0,54000,5300.0,63367,5.3-Liter V12
1286,1286,1961,Chevrolet,Chevrolet Corvette C1,60000.0,15000,5735.45,92807,350ci V8
1290,1290,2002,Pontiac,Pontiac Firebird,37000.0,5000,5700.0,15234,Supercharged 5.7-Liter V8
1291,1291,2009,Porsche,Porsche 997 911,45500.0,116000,3800.0,33312,3.8-Liter Flat-Six
1292,1292,1966,Ford,Ford Mustang 1964.5-1966,28000.0,214000,4735.843,84663,289ci V8
1293,1293,2010,BMW,BMW E61 5-Series Touring,25000.0,44000,3000.0,27614,Twin-Turbocharged 3.0L Inline-Six 
1294,1294,1989,Chrysler,Chrysler Conquest & Mitsubishi Starion,23800.0,37000,2600.0,10598,Turbocharged 2.6-Liter Inline-Four
1295,1295,1994,Ford,Ford Bronco 4th-5th Generations 1987-1996,24000.0,148000,5800.0,91402,5.8-Liter V8
1296,1296,2008,BMW,BMW E60 M5,43750.0,78000,5500.0,32459,Modified 5.5-Liter S65 V10 
1297,1297,1969,Lotus,Lotus Elan,13000.0,34000,1558.0,57105,"1,558cc Inline-Four"
1298,1298,1991,Toyota,Toyota Supra,22800.0,55000,3000.0,57106,Turbocharged 3.0-Liter Inline-Six
1299,1299,1993,Porsche,Porsche 964 911,142000.0,19000,3600.0,33458,3.6-Liter M64 Flat-Six
1300,1300,1999,Mercedes-Benz,Mercedes-Benz R129 SL,16000.0,37000,5000.0,60016,5.0-Liter V8
1301,1301,1972,BMW,BMW Motorcycles,13000.0,32000,599.0,29403,599cc Opposed Twin
1302,1302,1970,Ford,Ford Bronco U13/U14/U15 1966-1977,240000.0,150000,5000.0,74953,Coyote 5.0-Liter V8
1304,1304,1996,Porsche,Porsche 993 Turbo,230000.0,28000,3600.0,44720,Twin-Turbocharged 3.6L Flat-Six
1305,1305,1972,Mercedes-Benz,Mercedes-Benz W108 & W109,17333.0,48000,4500.0,49453,4.5-Liter M117 V8
1306,1306,1994,Porsche,Porsche 928,163928.0,38000,5400.0,92707,5.4-Liter DOHC V8
1307,1307,2004,Mazda,Mazda RX-8,13000.0,32000,1300.0,19010,1.3-Liter Renesis Rotary
1308,1308,2004,Shelby,Shelby Cobra Replica,37777.0,18000,4948.874,92109,302ci Ford V8
1309,1309,2008,BMW,BMW Z4 Roadster E85,24000.0,31000,3000.0,10560,3.0-Liter Inline-Six
1311,1311,2009,Mercedes-Benz,Mercedes-Benz AMG,28750.0,33000,6200.0,73112,6.2-Liter AMG V8
1312,1312,1987,Porsche,Porsche 911 Carrera 3.2,55000.0,78000,3200.0,37745,3.2-Liter Flat-Six
1313,1313,2003,Ford,Ford Excursion,17500.0,60000,6800.0,10310,6.8-Liter Triton V10
1314,1314,2006,Toyota,Toyota Land Cruiser 100-Series,28250.0,151000,4700.0,23322,4.7-Liter 2UZ-FE V8
1316,1316,2007,Audi,Audi RS4,32000.0,129000,4200.0,34786,4.2-Liter V8
1317,1317,1999,Mercedes-Benz,Mercedes-Benz W210 E-Class,19000.0,47000,5400.0,95066,5.4-Liter M113 V8
1318,1318,1991,Jeep,Jeep Grand Wagoneer,28000.0,122000,5899.32,92662,360ci V8
1320,1320,1986,Porsche,Porsche 944 Turbo,15951.0,129000,2500.0,15106,Turbocharged 2.5-Liter Inline-Four
1321,1321,2004,Porsche,Porsche 986 Boxster,25650.0,30000,2700.0,20837,Replacement 2.7-Liter Flat-Six
1322,1322,1974,Porsche,Porsche 911 1974-1977,37750.0,26000,2900.0,22205,Modified 2.9-Liter Flat-Six
1323,1323,1966,Ford,Ford Mustang 1964.5-1966,26500.0,55000,4735.843,7834,289ci V8
1325,1325,1959,MG,MG MGA,28000.0,50000,1500.0,14471,1.5-Liter Inline-Four
1326,1326,1990,Chevrolet,Chevrolet Corvette C4,10500.0,39000,5700.0,8080,5.7-Liter L98 V8
1327,1327,2005,Lexus,Lexus LX SUV,29000.0,68000,4700.0,23116,4.7-Liter V8 
1328,1328,1989,Rolls-Royce,Rolls-Royce Corniche,55500.0,32000,6750.0,60071,6.75-Liter V8
1329,1329,1999,Lexus,Lexus SC Coupe,11500.0,58000,3000.0,21223,3.0-liter Inline-Six
1330,1330,1997,Jeep,Jeep Wrangler,19000.0,16000,4000.0,7643,4.0-Liter Inline-Six
1331,1331,1986,Porsche,Porsche 928,13750.0,67000,5000.0,65803,5.0-Liter V8
1332,1332,1991,Acura,Acura NSX NA1/NA2,95000.0,42000,3000.0,94920,3.0-Liter VTEC V6
1333,1333,1991,Mazda,Mazda Miata,10100.0,32000,1600.0,20812,1.6-Liter DOHC Inline-Four
1334,1334,1991,Porsche,Porsche 964 911,46250.0,102000,3600.0,7753,3.6-Liter Flat-Six
1335,1335,1995,Isuzu,Isuzu Trooper,13700.0,79000,3200.0,20111,3.2-Liter V6
1336,1336,1969,Ford,Ford F-Series 1967-1972,7500.0,43000,5899.32,76092,360ci V8
1337,1337,2001,Honda,Honda S2000,35250.0,15000,2000.0,92009,2.0-Liter VTEC Inline-Four
1338,1338,2000,Mercedes-Benz,Mercedes-Benz SLK-Class,9500.0,67000,2300.0,13760,Supercharged 2.3-liter Inline-Four
1339,1339,2022,Porsche,Porsche 992 911,302000.0,141000,4000.0,84317,4.0L Flat-Six
1340,1340,1986,Chevrolet,Chevrolet Corvette C4,12200.0,34000,5700.0,45039,5.7-Liter L98 V8
1341,1341,1987,BMW,BMW E30 3-Series,15000.0,105000,2500.0,60523,2.5-Liter Inline-Six
1342,1342,2013,BMW,BMW E90/E92/E93 M3,54000.0,17000,4000.0,91207,4.0-Liter V8
1343,1343,2013,Mercedes-Benz,Mercedes-Benz R231 SL,51000.0,20000,4600.0,8844,Twin-Turbocharged 4.6-Liter V8
1344,1344,1992,Mercedes-Benz,Mercedes-Benz 500E & E500,26000.0,166000,5000.0,90025,5.0-Liter M119 V8
1346,1346,2010,Porsche,Porsche 997 Turbo,65556.0,84000,3800.0,94114,Twin-Turbocharged 3.8L Flat-Six
1347,1347,1983,Buick,Buick Riviera,14500.0,23000,5000.0,18940,5.0-Liter V8
1349,1349,1966,Chevrolet,Chevrolet Suburban,8200.0,75000,4096.75,11968,250ci Inline-Six
1350,1350,1995,Ford,Ford Mustang SN95 1994-2004,22972.0,13000,5000.0,28677,5.0-Liter V8
1353,1353,1983,Porsche,Porsche 930 Turbo,80930.0,92000,3300.0,33478,Turbocharged 3.3-Liter Flat-Six
1356,1356,2004,Chevrolet,Chevrolet Corvette C5,26500.0,10000,5700.0,11357,Supercharged 5.7-liter LS6 V8
1357,1357,2017,Mercedes-Benz,Mercedes-Benz Gelandewagen,94000.0,11000,4000.0,85018,Twin-Turbocharged 4.0L V8
1359,1359,1976,MG,MG Midget,7100.0,37000,1500.0,80027,1.5-Liter Inline-Four
1362,1362,1970,Mercury,Mercury Cougar,41000.0,16000,7013.636,93012,Replacement 428ci V8
1363,1363,2018,Porsche,Porsche 911 GT3,238000.0,9000,4000.0,92126,4.0-Liter Flat Six
1364,1364,1966,Jaguar,Jaguar XKE Series I,78888.0,26000,4200.0,93401,4.2-Liter Inline-Six
1366,1366,1989,BMW,BMW E30 M3,53500.0,151000,2300.0,19403,2.3L S14 Inline-Four
1367,1367,2009,Bentley,Bentley Continental GT,69500.0,50000,6000.0,34997,Twin-Turbocharged 6.0-Liter W12
1368,1368,1974,BMW,BMW 2002tii,33000.0,80000,2000.0,80004,2.0-Liter M10 Inline-Four
1369,1369,1991,BMW,BMW E31 8-Series,14300.0,116000,5000.0,95742,5.0-Liter M70 V12
1371,1371,1995,Porsche,Porsche 993 911,80000.0,92000,3600.0,78620,3.6-Liter Flat-Six
1374,1374,1976,Ford,Ford Torino,16851.0,5000,5751.837,34982,351ci Windsor V8
1375,1375,2003,Ferrari,Ferrari 575M,96500.0,23000,5700.0,2062,5.7L Quad-Cam V12 
1377,1377,2009,Mercedes-Benz,Mercedes-Benz M-Class,25500.0,77000,6200.0,33314,6.2-Liter V8
1381,1381,1967,Ford,Ford Mustang 1967-1968,25750.0,51000,4735.843,95409,289ci V8
1382,1382,1999,Porsche,Porsche 996 911,35498.0,26000,3400.0,19010,3.4-Liter Flat-Six
1383,1383,2002,Mini,Mini Modern,20000.0,9000,1600.0,27501,Supercharged 1.6-Liter Inline-Four
1384,1384,1985,Toyota,Toyota AE86,16900.0,215000,1600.0,98003,Supercharged 1.6L 4A-GZE Inline-Four
1385,1385,1994,Buick,Buick Roadmaster,16750.0,79000,5700.0,74016,5.7-Liter LT1 V8
1389,1389,2004,BMW,BMW E46 3-Series Convertible,15500.0,52000,3000.0,68847,3.0-Liter Inline-Six
1391,1391,1971,Jaguar,Jaguar XKE Series III,85100.0,14000,5300.0,19711,5.3-Liter V12
1398,1398,2000,Mazda,Mazda Miata,27000.0,30000,5700.0,2360,5.7-Liter LS1 V8
1400,1400,1974,Porsche,Porsche 914,34000.0,28000,1800.0,29926,1.8-Liter Flat-Four
