,year,make,model,final_price,mileage,engine,zipcode
151,2019,Ford,Ford Mustang S550,"$57,500",5000,5.2-Liter V8,28117
152,2013,Mercedes-Benz,Mercedes-Benz AMG,"$37,000",35000,6.2-Liter M156 V8,77401
153,1967,Jaguar,Jaguar XKE Series I,"$130,000",56000,Overbored 4.2L Inline-Six,94608
154,2005,Porsche,Porsche 987 Boxster,"$29,750",21000,3.2-Liter Flat-Six,7074
155,1965,Chevrolet,Chevrolet Corvette C2,"$88,500",78000,327ci V8 ,85260
156,1996,Ford,Ford F-Series 1992-1997,"$16,750",68000,5.8-Liter V8,64016
157,1973,Land Rover,Land Rover Series 88,"$31,000",0,2.25L Gas Inline-Four,60640
158,1976,Porsche,Porsche 914,"$41,000",4000,2.0-Liter Inline-Four,93105
159,1985,Jeep,Jeep Grand Wagoneer,"$18,000",110000,360ci V8,92880
160,1992,Volvo,Volvo 240,"$29,500",85000,2.3-Liter Inline-Four,10560
161,2008,Ferrari,Ferrari 612 Scaglietti,"$217,000",20000,5.7-Liter F133H V12 ,90230
162,1966,Chevrolet,Chevrolet Chevelle,"$24,750",5000,350ci V8,92708
163,1972,BMW,BMW E9 Coupe,"$148,000",0,"19k Kilometers (~12k Miles) Shown, TMU",92630
164,1989,Ford,Ford Fox-Body Mustang,"$14,250",19000,302ci V8,98248
165,1967,Pontiac,Pontiac GTO,"$39,000",85000,400ci V8,33156
166,2005,Mercedes-Benz,Mercedes-Benz W211 E-Class,"$24,000",45000,3.2-Liter Turbodiesel Inline-Six,12590
167,1988,980s,nItalian,"$6,800",0,125cc Two-Stroke Single,37421
168,2018,Porsche,Porsche Panamera,"$64,500",13000,Turbocharged 3.0-Liter V6,10560
169,1973,Triumph,Triumph Spitfire,"$11,250",69000,1.5-Liter Inline-Four,75022
170,1969,BMW,BMW Neue Klasse,"$27,750",10000,Turbocharged 2.0-Liter Inline-Four,6880
171,1986,Ferrari,Ferrari 328,"$93,500",30000,3.2-Liter V8,7417
172,1982,Mazda,Mazda RX-7 FB,"$13,500",70000,1.1-Liter 12A Rotary,6480
173,1992,Ford,Ford Fox-Body Mustang,"$84,000",0,"1,700 Miles",28117
174,1987,Porsche,Porsche 911 Carrera 3.2,"$91,000",0,3.2-Liter Flat-Six,28117
175,1998,GMC,GMC Pickup,"$18,260",63000,5.0-Liter V8,15301
176,1988,Volkswagen,Volkswagen Vanagon,"$23,250",153000,2.1-Liter Flat-Four,97303
177,2000,Ford,Ford F-Series 1997-2004,"$20,250",51000,5.4-Liter Triton V8,63026
178,1967,Chevrolet,Chevrolet Chevelle,"$24,000",70000,283ci V8,16509
179,2006,BMW,BMW E46 3-Series Convertible,"$23,500",32000,3.0-Liter Inline-Six,19010
180,1970,Ford,Ford Torino,"$25,000",52000,M-Code 351ci V8,17543
181,2019,Ducati,10s,"$33,000",68000,998cc Desmosedici Stradale R L-Twin,20879
182,1966,Ford,Ford Bronco U13/U14/U15 1966-1977,"$37,250",0,"63k Miles Shown, TMU",35768
183,1996,Porsche,Porsche 993 911,"$160,000",0,3.6-Liter Flat-Six,97227
184,2009,Chevrolet,Chevrolet Corvette C6,"$68,000",6000,Supercharged 6.2-Liter LS9 V8,86404
185,1965,Ford,Ford Mustang 1964.5-1966,"$52,733",16000,302ci V8,34990
186,2005,Porsche,Porsche 997 911,"$43,250",32000,3.6-Liter Flat-Six,85226
187,1999,Jeep,Jeep Wrangler,"$27,500",28000,Turbocharged 4.0-Liter Inline-Six,85377
188,2016,BMW,BMW F10 M5,"$63,700",0,Twin-Turbocharged 4.4-Liter S63 V8,32825
189,1979,Volkswagen,Volkswagen Bus,"$28,000",50000,2.0-Liter Flat-Four,92109
190,1971,Datsun,Datsun 510,"$21,510",36000,1.6-Liter Inline-Four,91789
191,2006,Ducati,00s,"$31,000",41000,998cc Testastretta L-Twin,33966
192,2022,BMW,BMW F90 M5,"$165,000",106000,Twin-Turbocharged 4.4-Liter S63 V8,92618
193,2022,Mercedes-Benz,Mercedes-Benz 300SL Gullwing & Roadster,"$3,000",0,Workshop Manual,94501
194,1974,BMW,BMW 2002tii,"$32,000",38000,Rebuilt 2.0-Liter Inline-Four,3846
195,1970,Ford,Ford Mustang 1969-1973,"$81,000",7000,Replacement 302ci V8,93940
196,1970,Datsun,Datsun 240Z,"$43,000",59000,2.4-Liter L24 Inline-Six,93940
197,1969,Mercedes-Benz,Mercedes-Benz W111 Coupe & Cabriolet,"$198,777",0,89k Miles Shown,93940
198,2005,Ford,Ford GT 1st Generation,"$456,000",169000,Supercharged 5.4-Liter V8,32819
199,2003,Aston Martin,Aston Martin DB7,"$265,000",0,"4,400 Miles",93940
200,2005,BMW,BMW E46 330 ZHP,"$15,450",71000,3.0-Liter Inline-Six,40383
201,1972,Chevrolet,Chevrolet K5 Blazer 1969-1972,"$115,000",300000,383ci V8,94920
202,1996,Chevrolet,Chevrolet Impala,"$18,500",51000,5.7-Liter LT1 V8,92663
203,1996,Porsche,Porsche 550 Spyder Replica,"$67,000",97000,"2,165cc Flat-Four",92270
