,year,make,model,final_price,mileage,engine,zipcode
590,1983,Alfa Romeo,Alfa Romeo 105/115 Series Spider,"$13,500",63000,2.0-Liter DOHC Inline-Four,6037
591,1990,Porsche,Porsche 964 911,"$85,000",54000,3.6-Liter M64 Flat-Six,84095
592,1993,Dodge,Dodge Viper,"$40,000",29000,8.0-Liter V10,7645
593,1978,International Harvester,International Harvester Scout,"$35,500",34000,345ci V8,49512
594,1950,Studebaker,Studebaker Pickup,"$18,000",38000,170ci Inline-Six,14867
595,1965,Ford,Ford Mustang 1964.5-1966,"$101,000",155000,331ci Stroker V8,93446
596,1989,Porsche,Porsche 928,"$26,000",129000,5.0-Liter DOHC V8 ,55441
597,1967,Land Rover,Land Rover Series 88,"$55,500",83000,Overbored 2.25-Liter Inline-Four,4074
598,1988,Chrysler,Chrysler Conquest & Mitsubishi Starion,"$18,750",72000,Turbocharged & Intercooled 2.6L Inline-Four ,1543
599,1992,Chevrolet,Chevrolet Corvette C4,"$24,500",50000,5.7-Liter LT5 V8,6498
600,1966,Chevrolet,Chevrolet Corvette C2,"$92,500",57000,427ci L72 V8,78070
601,2003,Ford,Ford Mustang SN95 1994-2004,"$33,500",8000,Supercharged 4.6-Liter V8,48183
602,2014,Mercedes-Benz,Mercedes-Benz E55 & E63 AMG Wagon,"$42,000",0,Twin-Turbocharged 5.5-Liter V8,48183
603,2005,Subaru,Subaru WRX STi,"$66,000",35000,Turbocharged 2.5L Flat-Four,60064
604,1966,Ford,Ford Bronco U13/U14/U15 1966-1977,"$50,000",1000,Replacement 302ci V8,64735
605,1973,Lotus,Lotus Europa,"$24,000",32000,1.6-Liter Inline-Four,92679
606,1973,020s,nAmerican,"$21,750",48000,Turbocharged 2.0-Liter Flat-Four,38654
607,1988,BMW,BMW E28 5-Series,"$21,000",171000,3.4-Liter Inline-Six ,94952
608,2004,Toyota,00s,"$18,050",123000,4.7-Liter iForce V8,82240
609,1991,GMC,GMC Pickup,"$9,500",55000,4.3-Liter V6,28144
610,2021,Porsche,Porsche 992 911,"$141,000",32000,3.0-Liter Flat-Six,28144
611,2014,Ferrari,Ferrari 458,"$262,000",7000,4.5-Liter F136F V8,30360
612,1991,BMW,BMW E34 M5,"$63,666",0,11k Kilometers (~7k Miles) Shown,10583
613,1965,Chevrolet,Chevrolet Corvair,"$9,500",2000,Air-Cooled 164ci Flat-Six,32801
614,1965,Chevrolet,Chevrolet Corvette C2,"$3,251",0,Chrome Trim,92807
615,1987,Mercedes-Benz,Mercedes-Benz W126 S-Class,"$15,000",82000,5.5-Liter M117 V8,2865
616,2002,BMW,BMW E46 M3,"$25,750",56000,3.2-Liter S54 Inline-Six,90027
617,1994,Porsche,Porsche 964 911,"$175,000",267000,62k Miles Shown,60064
618,1992,Toyota,Toyota SW20 MR2,"$44,500",0,Turbocharged 2.0-Liter Inline-Four,80214
619,1968,Pontiac,Pontiac GTO,"$62,000",66000,400ci V8,61354
620,1992,Acura,Acura NSX NA1/NA2,"$69,500",0,3.0-Liter VTEC V6,98166
621,1995,Jeep,Jeep Cherokee,"$13,000",115000,4.0-Liter Inline-Six,20111
622,1936,Cord,30s,"$46,750",862000,"55k Miles Shown, TMU",33919
623,2007,BMW,BMW E60 M5,"$36,760",93000,5.0-Liter V10,91403
624,1996,Jaguar,Jaguar XJS,"$16,000",49000,4.0-Liter Inline-Six,78218
625,2001,BMW,BMW E46 3-Series Coupe,"$14,500",77000,3.0-Liter Inline-Six,94530
626,2000,Dodge,Dodge Viper,"$77,500",15000,8.0-Liter V10,91604
627,1970,Ford,Ford Mustang 1969-1973,"$47,300",0,351ci V8,93023
628,1941,Harley Davidson,40s,"$27,000",0,S&S Cycle 74ci Knucklehead-Style V-Twin,92025
629,2022,Cadillac,20s,"$136,500",536000,Supercharged 6.2-Liter V8,50320
630,2008,Porsche,Porsche 997 911,"$62,997",15000,3.6-Liter Flat-Six,93940
631,1966,McLaren,McLaren Racing,"$173,000",0,Quadruple Weber 48 IDA Carburetors,93940
632,3000,Austin-Healey,Austin-Healey 3000,"$50,000",19000,2.9L Inline-Six,93940
633,2018,Porsche,Porsche 911 GT3,"$246,000",2000,4.0-Liter Flat Six ,45243
634,1996,Porsche,Porsche 993 911,"$57,000",19000,3.6-Liter Flat-Six,77345
635,1973,Ford,Ford F-Series 1973-1979,"$35,250",6000,5.0-Liter Coyote V8,81506
636,1990,BMW,BMW E30 3-Series,"$27,500",0,2.5-Liter Inline-Six,98230
637,1989,Mercedes-Benz,Mercedes-Benz W126 S-Class,"$16,000",43000,4.2-Liter V8,92627
638,1972,Triumph,Triumph TR6,"$8,000",41000,2.5-Liter Inline-Six,2048
639,2011,Mercedes-Benz,Mercedes-Benz SLS AMG,"$225,000",21000,6.2-liter DOHC V8,68136
640,2022,Porsche,Porsche Taycan,"$135,000",0,Dual AC Permanent Synchronous Motors,92887
641,2007,Porsche,Porsche 997 Turbo,"$81,500",25000,Twin-Turbocharged 3.6L Flat-Six,11762
642,1961,Jaguar,Jaguar XKE Series I,"$223,000",76000,3.8L Inline-Six,3820
643,2000,Porsche,Porsche 986 Boxster,"$28,500",8000,3.2-Liter Flat-Six,1746
644,2003,Lexus,Lexus LX SUV,"$21,250",163000,4.7-Liter V8,92109
645,1969,Chevrolet,Chevrolet Camaro 1st Generation 1967-1969,"$52,500",18000,Replacement Big-Block V8,11784
646,1991,Mazda,Mazda Miata,"$10,500",28000,1.6-Liter DOHC Inline-Four,53073
647,2015,Land Rover,10s,"$42,000",44000,Supercharged 3.0-Liter V6,33409
648,2006,Porsche,Porsche 997 911,"$47,000",51000,3.6-Liter M96 Flat-Six,32960
649,2008,Ford,Ford Mustang S197 2005-2014,"$58,000",38000,Supercharged 5.4-Liter V8,51401
650,1967,MG,MG MGB,"$2,600",0,"15k Miles Shown, TMU",83660
651,1997,Lexus,Lexus LX SUV,"$100,500",26000,4.5-Liter Inline Six,90025
652,2002,BMW,BMW E46 M3,"$20,249",60000,3.2-Liter Inline-Six,33064
653,2023,Chevrolet,Chevrolet Corvette C8,"$93,000",7000,6.2-Liter LT2 V8,82801
654,2000,Land Rover,Land Rover Range Rover P38A,"$21,000",47000,4.6-Liter V8,98036
655,1991,Nissan,Nissan Figaro,"$24,750",0,Turbocharged 987cc Inline-Four,85253
656,1987,Porsche,Porsche 924,"$11,924",80000,2.5-Liter Inline-Four,92570
657,2012,Ford,Ford Mustang S197 2005-2014,"$29,000",80000,5.0-Liter V8 ,97227
658,1965,Ford,Ford Mustang 1964.5-1966,"$53,000",52000,289ci V8,27023
659,1960,Mercedes-Benz,Mercedes-Benz 190SL,"$94,000",61000,1.9L M121 Inline-Four,3871
660,1970,Datsun,Datsun 240Z,"$47,240",25000,2.4-Liter L24 Inline-Six  ,80301
661,1993,Land Rover,Land Rover Defender 110 NAS,"$140,000",63000,3.9-Liter V8,85018
662,2021,Ford,Ford Shelby Mustang,"$99,999",0,Supercharged 5.2-Liter V8,32311
663,2009,Porsche,Porsche 987 Boxster,"$29,500",32000,3.4-Liter Flat-Six,76502
664,1978,Ducati,70s,"$12,000",8000,Air-Cooled 864cc L-Twin,80132
665,2008,BMW,BMW 7-Series,"$13,750",46000,4.8-Liter V8,53114
666,2008,Audi,Audi RS4,"$53,000",26000,4.2-Liter V8,89135
667,2013,BMW,BMW E90/E92/E93 M3,"$66,250",0,11k Miles,4103
668,1991,Porsche,Porsche 964 911,"$60,069",40000,3.6-Liter Flat-Six,91302
669,1966,Ford,Ford Mustang 1964.5-1966,"$42,000",37000,289ci V8,80033
670,1966,Shelby,Shelby Cobra Replica,"$47,777",2000,347ci V8,1571
671,2003,BMW,BMW Z4 Roadster E85,"$17,250",68000,2.5-Liter Inline-Six,10560
672,1973,Chevrolet,Chevrolet Pickup,"$19,500",0,350ci V8,95746
673,2014,Ford,Ford Mustang S197 2005-2014,"$63,000",7000,Supercharged 5.8-Liter V8,58301
674,1990,Chevrolet,Chevrolet Corvette C4,"$17,000",19000,5.7-Liter L98 V8,48381
675,1991,Acura,Acura NSX NA1/NA2,"$81,000",21000,3.0-Liter V6,91304
676,1999,Jaguar,Jaguar XK8,"$13,351",30000,4.0-Liter V8,97219
677,1988,BMW,BMW E30 3-Series,"$13,100",79000,2.5-Liter Inline-Six,30188
678,1995,Chevrolet,Chevrolet Corvette C4,"$13,500",25000,5.7-Liter LT1 V8,89027
679,1994,Jaguar,Jaguar XJS,"$13,450",68000,6.0-Liter V12,90272
680,1978,Porsche,Porsche 930 Turbo,"$76,000",37000,Replacement Turbocharged 3.3L Flat-Six,90272
681,2003,Porsche,Porsche 996 911,"$36,500",84000,3.6-Liter Flat-Six ,13732
682,2003,Porsche,Porsche 996 911,"$41,000",63000,3.6-Liter Flat-Six,32773
683,1998,Lexus,90s,"$11,000",63000,3.0-Liter V6,95131
684,2018,Lamborghini,Lamborghini Huracán,"$315,000",0,5.2-Liter V10,80528
685,2003,Land Rover,Land Rover Discovery,"$28,500",50000,4.6-Liter V8,11787
686,1987,Mercedes-Benz,Mercedes-Benz W124 E-Class,"$10,800",81000,3.0-Liter Turbodiesel Inline-Six,21087
687,2004,Mercedes-Benz,Mercedes-Benz R230 SL,"$15,750",49000,5.0-Liter V8,2835
688,1981,Ferrari,Ferrari 308,"$46,000",25000,2.9-Liter DOHC V8,91307
689,1991,BMW,BMW E31 8-Series,"$21,000",78000,5.0-Liter V12,40356
690,1991,Mercedes-Benz,Mercedes-Benz R129 SL,"$37,500",13000,5.0-Liter M119 V8,2451
691,1977,Honda,Honda Motorcycles,"$7,500",16000,408cc Inline-Four,55327
692,1996,Toyota,90s,"$45,000",64000,"1,812cc 2Y Inline-Four",75252
693,1991,Porsche,Porsche 964 Turbo,"$184,964",77000,Turbocharged 3.3-Liter Flat-Six,91381
694,1978,Ford,Ford F-Series 1973-1979,"$24,000",50000,351ci V8,28677
695,1972,Ford,Ford Bronco U13/U14/U15 1966-1977,"$44,600",2000,351ci V8,1510
696,2010,BMW,BMW E60 5-Series Sedan,"$19,500",58000,Twin-Turbocharged 3.0L Inline-Six,10560
697,1965,Volkswagen,Volkswagen Beetle,"$12,250",54000,Replacement 1.2L Flat-Four,94602
698,1970,Plymouth,Plymouth Barracuda,"$57,500",46000,Replacement 340ci V8 ,86401
699,2011,Lotus,Lotus Elise,"$44,251",27000,1.8-Liter Inline-Four,33137
700,1988,Land Rover,Land Rover Range Rover Classic,"$13,000",0,Turbodiesel 2.4-Liter Inline-Four,2050
701,2019,Porsche,Porsche 911 GT2,"$406,356",0,Twin-Turbocharged 3.8L Flat-Six ,62701
702,2008,Porsche,Porsche 997 911,"$55,000",46000,3.8-Liter Flat-Six,30060
703,1985,Chevrolet,Chevrolet Monte Carlo,"$34,400",0,5.0-Liter V8,68731
704,1954,MG,MG TF,"$25,750",7000,"1,250cc Inline-Four",61011
705,2021,Lexus,20s,"$140,000",0,#80 of 100 Inspiration Series Examples ,21409
706,1953,BSA,50s,"$6,313",0,Air-Cooled 499cc OHV Single,3049
707,1982,Porsche,Porsche 911SC,"$68,411",90000,3.0-Liter Flat-Six ,75207
708,1970,Mercedes-Benz,Mercedes-Benz W113 SL,"$152,280",33000,Fuel-Injected 2.8L Inline-Six ,90025
709,1970,Porsche,Porsche 914,"$85,000",15000,2.0-Liter Flat-Six ,97227
710,1992,Jeep,Jeep Cherokee,"$11,500",121000,4.0-Liter Inline-Six,6355
711,1995,Honda,90s,"$4,769",0,3.1-Liter Turbodiesel Inline-Four,40324
712,1988,Porsche,Porsche 911 Carrera 3.2,"$92,500",53000,3.2-Liter Flat-Six,40324
713,1966,Jaguar,Jaguar XKE Series I,"$170,000",85000,4.2-Liter Inline-Six,53105
714,1973,BMW,BMW 2002tii,"$56,000",0,Fuel-Injected 2.0L Inline-Four,33315
715,1966,Ford,Ford Mustang 1964.5-1966,"$16,750",43000,302ci V8,94117
716,1978,Fiat,Fiat X1/9,"$20,500",149000,1.3-Liter SOHC Inline-Four,94117
717,1973,Buick,Buick Riviera,"$17,500",24000,455ci V8,55304
718,2019,Land Rover,Land Rover Range Rover L405,"$82,500",33000,Supercharged 5.0-liter V8,92627
719,1987,Saab,Saab 900,"$145,000",246000,Turbocharged 2.0L Inline-Four,63146
720,2013,Chevrolet,Chevrolet Corvette C6,"$51,500",19000,7.0-Liter LS7 V8,33176
721,2004,Honda,Honda Motorcycles,"$7,000",0,49cc Two-Stroke Single,92805
722,1986,Nissan,80s,"$6,900",74000,1.6-Liter Inline-Four,98290
723,1962,Mercedes-Benz,Mercedes-Benz W111 Coupe & Cabriolet,"$20,000",10000,Replacement 2.5-Liter Inline-Six,74436
724,1962,Porsche,Porsche 356 Speedster,"$4,500",0,Red Vinyl Upholstery Accents,95003
725,1990,Suzuki,90s,"$7,850",78000,1.3-Liter Inline-Four,79370
726,1990,Porsche,Porsche 944,"$23,750",129000,3.0-Liter M44/41 Inline-Four,94903
727,2015,Porsche,Porsche 991 Turbo,"$168,000",11000,Twin-Turbocharged 3.8L Flat-Six,75056
728,1988,Toyota,Toyota Land Cruiser 60-Series,"$57,500",195000,5.3-Liter Vortec V8,38320
729,1997,Ferrari,Ferrari 550 Maranello,"$126,000",65000,5.5-Liter V12,91320
730,1966,Sunbeam,60s,"$52,510",0,2.0-Liter F20C Inline-Four,97124
731,1988,Porsche,Porsche 930 Turbo,"$200,930",39000,Turbocharged 3.3L Flat-Six,11968
732,2005,Ford,Ford GT 1st Generation,"$342,000",8000,Supercharged 5.4-Liter V8,32773
733,1972,Ferrari,Ferrari Dino,"$567,000",0,"44k Miles Shown, TMU",32773
734,1975,Ford,Ford Bronco U13/U14/U15 1966-1977,"$71,000",130000,Replacement 5.8-Liter V8,97502
735,1975,Mercedes-Benz,Mercedes-Benz 300SL Gullwing & Roadster,"$16,000",0,Chrome-Finished Faces,93013
736,1936,Ford,Ford Pickup 1935-1936,"$125,000",3000,6.2L LS3 V8,35079
737,1936,Ford,Ford Hot Rod,"$76,500",0,Custom Boxed Frame,30041
738,1992,Land Rover,Land Rover 90 / Defender 90 (Euro Spec),"$17,000",0,2.5-Liter 200Tdi Turbodiesel Inline-Four,30041
739,1986,Alfa Romeo,Alfa Romeo 105/115 Series Spider,"$14,250",66000,2.0-Liter Inline-Four,94506
740,2016,Porsche,Porsche Cayman GT4,"$97,000",26000,Replacement 3.8-Liter Flat-Six,95465
741,1960,BMW,BMW Motorcycles,"$12,250",41000,494cc Opposed Twin,1073
742,1998,Mercedes-Benz,Mercedes-Benz R129 SL,"$10,000",110000,6.0-Liter V12,6070
743,1950,Ford,50s,"$25,500",1000,239ci Flathead V8,78642
744,2011,BMW,BMW 1M,"$65,000",42000,Twin-Turbocharged 3.0-Liter Inline-Six,1588
745,1994,BMW,BMW E30 3-Series Touring,"$23,500",0,1.8-Liter Inline-Four,46220
746,1977,Ford,Ford F-Series 1973-1979,"$19,250",15000,400ci V8,4938
747,1967,Alfa Romeo,Alfa Romeo 105/115 Series Coupe,"$80,105",64000,1.6-Liter Twin-Cam Four ,95035
748,1986,BMW,BMW E24 6-Series,"$19,500",139000,3.4-Liter M30B34 Inline-Six,30563
749,1984,Chevrolet,Chevrolet El Camino,"$12,000",87000,305ci V8,45150
750,1983,Chevrolet,Chevrolet Pickup,"$17,000",37000,Replacement 350ci V8,62711
751,2005,Dodge,Dodge Pickup,"$17,500",47000,5.7-Liter Hemi V8 ,55330
752,1981,Toyota,Toyota Land Cruiser 60-Series,"$24,250",216000,4.2-Liter Inline-Six,98375
753,2008,Porsche,Porsche 997 911,"$39,000",73000,3.6-Liter Flat-Six,53114
754,1983,Mercedes-Benz,Mercedes-Benz R107 SL,"$15,750",69000,3.8-Liter V8,33480
755,1936,Chevrolet,Chevrolet Pickup,"$14,777",91000,206.8ci Inline-Six,81435
756,2014,Lamborghini,Lamborghini Aventador,"$310,000",10000,6.5-Liter V12,34787
757,1999,Porsche,Porsche 996 911,"$33,000",67000,3.4-Liter Flat-Six,33146
758,2010,Volvo,10s,"$12,650",80000,Turbocharged 2.5L Inline-Five,40324
759,2018,McLaren,McLaren Sports Series,"$159,400",6000,Twin-Turbocharged 3.8L V8 ,75205
760,1968,Porsche,Porsche 912,"$64,000",65000,1.6-Liter Flat-Four w/Big Bore Kit,75088
761,2018,Dodge,Dodge Challenger,0,30000,Supercharged 6.2-Liter Hemi V8,2451
762,1997,Land Rover,Land Rover Defender 90 NAS,"$99,000",102000,4.0-Liter V8,3242
763,1997,Mercedes-Benz,Mercedes-Benz Gelandewagen,"$40,800",0,3.0L OM606 Turbodiesel Inline-Six,22401
764,2018,Porsche,Porsche 911 GT3,"$180,500",13000,4.0-Liter Flat-Six,90049
765,2006,Hummer,Hummer H1,"$126,126",29000,6.6-Liter Duramax Turbodiesel V8,90049
766,2019,Ford,Ford Mustang S550,"$77,500",0,5.2-Liter Voodoo V8,19446
767,1982,Datsun,Datsun 280ZX,"$8,700",82000,2.8-Liter L28E Inline-Six,19131
768,1964,Volvo,Volvo PV444 and PV544,"$23,000",88000,1.8-Liter OHV Inline-Four,43081
769,1985,Ferrari,Ferrari 308,"$57,000",60000,2.9-Liter Quad-Cam V8,80126
770,2007,Toyota,Toyota Land Cruiser 100-Series,"$32,000",104000,4.7-Liter V8,64112
771,2006,Lotus,Lotus Elise,"$43,000",22000,1.8-Liter 2ZZ-GE Inline-Four,94503
772,2006,Shelby,Shelby Cobra Replica,"$67,000",9000,427ci V8,97828
773,2004,Mercedes-Benz,Mercedes-Benz R230 SL,"$18,500",0,58k Miles,7011
774,2003,Land Rover,Land Rover Discovery,"$15,000",85000,4.6-Liter V8,8822
775,2007,Chevrolet,Chevrolet Corvette C6,"$361,000",47000,209 Miles,70433
776,1974,Triumph,Triumph TR6,"$12,750",90000,2.5L Inline-Six,17545
777,1966,Ford,Ford Mustang 1964.5-1966,"$29,500",66000,200ci Inline-Six,83709
778,1970,Dodge,Dodge Challenger,"$36,000",86000,383ci V8,90713
779,1994,Ford,Ford Bronco 4th-5th Generations 1987-1996,"$28,500",57000,5.8-Liter V8,1773
780,1987,Porsche,Porsche 944,"$19,000",62000,2.5-Liter Inline-Four,58103
781,1987,Shelby,Shelby Cobra Replica,"$60,000",40000,Ford Racing 392ci V8,19971
782,1987,Ford,Ford F-Series 1987-1991,"$10,000",66000,5.8-Liter HO V8,80526
783,1970,BMW,BMW Motorcycles,"$6,600",9000,745cc Opposed Twin,92649
784,1996,BMW,BMW E36 3-Series,"$13,000",0,1.7-Liter Turbodiesel Inline-Four,19145
785,1959,Facel Vega,50s,"$86,000",33000,413ci Chrysler V8,19145
786,1996,Nissan,Nissan 300ZX,"$60,000",40000,3.0-Liter Twin-Turbo V6,28117
787,1958,Morgan,Morgan Plus 4,"$17,200",0,"1,991cc Inline-Four",4576
788,1996,Porsche,Porsche 993 911,"$64,000",46000,3.6-lLiter Flat-Six,19355
789,2002,BMW,BMW 2002,"$17,500",72000,2.0-Liter M10 Inline-Four,14051
790,2008,Land Rover,Land Rover Range Rover L322,"$19,000",80000,Supercharged 4.2-Liter V8,53114
791,1976,Porsche,Porsche 930 Turbo,"$127,935",71000,Turbocharged 3.0L Flat-Six,53114
792,1979,Chevrolet,Chevrolet Pickup,"$15,000",25000,One-Owner Example ,72703
793,1980,Toyota,Toyota Land Cruiser FJ40,"$37,500",117000,4.2-Liter Inline-Six,33178
794,2003,Porsche,Porsche 996 Turbo,"$53,496",115000,Twin-Turbocharged 3.6-Liter Flat-Six,33146
795,1998,Ferrari,Ferrari F355,"$86,355",19000,Mid-Mounted 3.5-Liter DOHC V8,33904
796,1965,Jaguar,Jaguar XKE Series I,"$107,500",95000,4.2-Liter XK Inline-Six ,92130
797,1962,Chevrolet,Chevrolet Impala,"$46,444",73000,409ci V8,95407
798,2004,Ford,Ford Excursion,"$21,000",133000,6.0-Liter Turbodiesel V8,38305
799,1974,Jensen,Jensen Interceptor,"$61,000",4000,440ci Chrysler V8,2601
800,2018,Ford,Ford Mustang S550,"$54,850",11000,5.2-Liter Voodoo V8,21784
801,2007,Chevrolet,Chevrolet Corvette C6,"$36,000",70000,Modified 7.2-Liter LSX V8,20147
802,1995,Mitsubishi,Mitsubishi Delica,"$20,316",0,129k Kilometers (~80k Miles) Shown,90025
803,1998,Audi,Audi A8,"$10,000",43000,4.2-Liter V8,8075
804,2000,Ducati,00s,"$19,500",0,Desmodromic L-Twin,7003
805,1999,Dodge,Dodge Viper,"$39,000",15000,8.0-Liter V10,30269
806,1994,Toyota,Toyota Supra,"$133,000",55000,Twin-Turbocharged 3.0-Liter Inline-Six,75209
807,1972,Citroen,Citroen DS,"$51,000",95000,"2,175cc Inline-Four",91306
808,2002,Porsche,Porsche 996 911,"$27,911",108000,6.2L LS3 V8,36330
809,1960,Volkswagen,Volkswagen Bus,"$19,000",31000,1.5-Liter Flat-Four,17403
810,2006,Aston Martin,Aston Martin V8 Vantage,"$48,750",10000,4.3-Liter V8,45324
811,2006,Mini,Mini Modern,"$26,500",51000,Supercharged 1.6-Liter Inline-Four,20854
812,2010,Porsche,Porsche Panamera,"$36,500",44000,4.8-Liter V8,53114
813,2011,Porsche,Porsche 911 GT3,"$305,000",0,3.8-Liter Flat-Six,33966
814,1969,Ford,Ford F-Series 1967-1972,"$26,000",79000,302ci V8,11577
815,1965,Honda,Honda Motorcycles,"$8,500",329000,305cc Four-Stroke SOHC Parallel Twin,98146
816,2006,Ducati,00s,"$6,889",13000,998cc Testastretta L-Twin,37122
817,2005,BMW,BMW E46 M3,"$24,000",121000,3.2-Liter S54 Inline-Six ,94538
818,2012,Mercedes-Benz,Mercedes-Benz AMG,"$34,250",25000,6.2-Liter AMG V8,7628
819,1986,Jeep,Jeep Grand Wagoneer,"$115,000",500000,5.7-Liter Hemi V8,7628
820,1979,Land Rover,Land Rover Series 88,"$27,000",0,2.25-Liter Diesel Inline-Four,61615
821,2006,Porsche,Porsche Cayenne,"$13,800",0,Twin-Turbocharged 4.5-Liter V8,61615
822,1972,Porsche,Porsche 914,"$13,500",58000,1.7-Liter Flat-Four,92069
823,1996,Lexus,Lexus LX SUV,"$7,000",150000,4.5-Liter Inline-Six,20850
824,1971,Fiat,Fiat 500,"$50,000",21000,499cc Inline-Twin,20850
825,1969,Alfa Romeo,Alfa Romeo 105/115 Series Coupe,"$38,000",0,"1,779cc Twin-Cam Inline-Four",20850
826,1968,Chevrolet,Chevrolet Corvette C3,"$15,000",85000,327ci V8,60618
827,1993,Volvo,Volvo 240,"$20,500",134000,2.3-Liter Inline-Four,83616
828,1994,Honda,Honda Motorcycles,"$4,400",15000,Liquid-Cooled 998cc Inline-Four,66209
829,2007,Porsche,Porsche 987 Boxster,"$35,000",10000,3.4-Liter Flat-Six,94010
830,1993,Chevrolet,Chevrolet Blazer GMT415,"$13,250",212000,5.7-Liter V8,60013
831,1968,Chevrolet,Chevrolet Chevelle,"$14,500",95000,307ci V8,28115
832,2014,Porsche,Porsche 991 911,"$215,000",0,4.0-Liter Flat-Six,45103
833,2007,Ducati,00s,"$20,500",0,992cc Desmodromic L-Twin,4843
834,1996,Porsche,Porsche 993 911,"$47,000",135000,3.6L M64 Flat-Six,95603
835,1996,Ford,Ford GT40 Replica,"$80,500",2000,427ci Windsor V8,36330
836,1993,Dodge,Dodge Pickup,"$31,000",430000,5.9-Liter Magnum V8,99202
837,1933,Morgan,Morgan 3-Wheeler,"$25,000",2000,990cc Matchless V-Twin,43064
838,1969,Ford,Ford Mustang 1969-1973,"$275,888",12000,Replacement 429ci V8 ,46142
839,1931,Marmon,30s,"$650,000",77000,491ci OHV V16,63146
840,2009,BMW,BMW E90/E92/E93 M3,"$30,000",86000,4.0-liter S65 V8,33908
841,1981,Chevrolet,Chevrolet Camaro 2nd Generation 1970-1981,"$21,250",52000,Replacement 350ci Crate V8 ,97133
842,2006,Mitsubishi,Mitsubishi Lancer Evolution,"$38,750",44000,Turbocharged 2.0-Liter Inline-Four,33414
843,2000,Honda,Honda S2000,"$35,500",43000,2.0-Liter F20C Inline-Four,11790
844,1989,Land Rover,Land Rover 90 / Defender 90 (Euro Spec),"$27,000",145000,2.5-liter Turbodiesel Inline-Four,78218
845,1966,Triumph,Triumph TR4,"$40,000",65000,2.1-Liter Inline-Four,1702
846,2000,Saab,Saab 9-3 Viggen,"$9,600",122000,Turbocharged 2.3-Liter Inline-Four,97214
847,2005,Honda,Honda Civic,"$11,350",54000,2.0-Liter Inline-Four,52403
848,1987,Buick,Buick GNX,"$107,500",5000,3.8-Liter V6,33312
849,1982,Toyota,Toyota Land Cruiser FJ40,"$20,500",42000,Nissan 2.7L Turbodiesel Inline-Four ,33312
850,1980,Honda,Honda Motorcycles,"$4,800",12000,902cc DOHC Inline-Four,55327
851,1995,Land Rover,Land Rover Defender 90 NAS,"$73,000",49000,3.9-Liter V8,92027
852,2000,Ford,Ford Saleen,"$32,950",30000,Supercharged 4.6-Liter V8,44107
853,2006,BMW,BMW E46 M3,"$39,000",24000,3.2-Liter Inline-Six,92270
854,1933,Ford,30s,"$66,000",7000,502ci V8 Crate Engine,63026
855,2001,BMW,BMW E46 3-Series Convertible,"$11,000",71000,3.0-Liter M54 Inline-Six,80210
856,1977,Honda,Honda Accord,"$12,250",62000,1.6-Liter Inline-Four,76550
857,1988,Toyota,Toyota Pickup,"$18,350",86000,3.0-Liter V6,99026
858,1990,Ford,Ford Fox-Body Mustang,"$45,000",21000,Supercharged 5.0L High-Output V8,46410
859,1976,Mini,Mini Classic,"$19,000",914000,998cc Inline-Four,81201
860,1969,Chevrolet,Chevrolet Camaro 1st Generation 1967-1969,"$44,750",62000,555ci V8,98110
861,1969,980s,nAmerican,"$21,750",164000,Four-Speed Staffs Transaxle,60098
862,1969,inItalian,oryParts,"$11,500",0,Small Suitcase,60098
863,1998,Jaguar,Jaguar XJ,"$10,250",84000,Supercharged 4.0-Liter V8,15234
864,1969,Ford,Ford Bronco U13/U14/U15 1966-1977,"$73,000",90000,302ci V8,84790
865,2003,Mercedes-Benz,Mercedes-Benz R230 SL,"$22,750",0,48k Miles,91302
866,1994,Porsche,Porsche 993 911,"$85,000",0,Turbocharged 3.6-Liter Flat-Six,48050
867,1965,Volkswagen,Volkswagen Karmann Ghia,"$14,500",54000,1300cc Air-Cooled Flat-Four,33469
868,1965,BMW,BMW Z8,"$1,800",0,Five Split-Spoke Design,2771
869,1995,Nissan,Nissan 300ZX,"$18,250",0,Replacement 3.0-Liter V6,13502
870,1973,Volkswagen,Volkswagen Thing,"$24,000",48000,1.6-Liter Flat-Four,90802
871,1965,Chevrolet,Chevrolet Corvette C2,"$42,000",88000,327ci V8,81505
872,2003,Porsche,Porsche 996 Turbo,"$81,000",26000,Twin-Turbocharged 3.6-Liter Flat-Six,77008
873,1940,Ford,Ford Hot Rod,"$40,000",42000,221ci 59AB Flathead V8,16509
874,2001,BMW,BMW Z3 M Roadster,"$26,250",78000,3.2-Liter S54 Inline-Six,67219
875,1992,Toyota,Toyota Land Cruiser 80-Series,"$23,250",0,Right-Hand Drive,95070
876,1976,BMW,BMW Motorcycles,"$5,200",7000,898cc OHV Opposed Twin,14111
877,1988,Saab,Saab 900,"$14,600",223000,Turbocharged 2.0-Liter Inline-Four,21037
878,1992,Porsche,Porsche 964 911,"$126,000",59000,One of 250 Produced,65052
879,1978,Chevrolet,Chevrolet K5 Blazer 1973-1991,"$25,250",300000,Replacement 5.3-Liter V8 ,85355
880,2003,Lexus,Lexus LS Sedan,"$20,250",44000,4.3-Liter V8,95131
881,2004,BMW,BMW E46 330 ZHP,"$21,295",87000,3.0-Liter Inline-Six,18704
882,1973,Volkswagen,Volkswagen Beetle,"$14,300",75000,1.6-Liter Flat-Four,22314
883,1968,Triumph,Triumph Motorcycles,"$10,250",395000,649cc OHV Parallel Twin,32720
